model,kind,variant,metric,value,metrics_path
Qwen3-8B,wikitext,fp16_pinn16,ppl,9.659865580530827,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen3_8b/fp16_pinn16/metrics.json
Qwen3-8B,wikitext,fp16_pinn32,ppl,9.643927559686755,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen3_8b/fp16_pinn32/metrics.json
Qwen3-8B,wikitext,int8_exact,ppl,10.053713198423925,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen3_8b/int8_exact/metrics.json
Qwen3-8B,wikitext,int8_pinn8,ppl,9.924109514452955,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen3_8b/int8_pinn8/metrics.json
Qwen3-8B,wikitext,int8_pinn16,ppl,9.9683554986082,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen3_8b/int8_pinn16/metrics.json
Qwen3-8B,wikitext,int8_pinn32,ppl,9.906194060872433,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen3_8b/int8_pinn32/metrics.json
facebook-opt-6.7b,lm_eval,fp16_exact,arc_easy,0.6001683501683501,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_exact/metrics.json
facebook-opt-6.7b,lm_eval,fp16_exact,hellaswag,0.6724756024696276,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_exact/metrics.json
facebook-opt-6.7b,lm_eval,fp16_exact,piqa,0.764417845484222,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_exact/metrics.json
facebook-opt-6.7b,lm_eval,fp16_exact,winogrande,0.6464088397790055,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_exact/metrics.json
facebook-opt-6.7b,lm_eval,fp16_exact,group1_mean,0.6708676594753014,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_exact/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn8,arc_easy,0.6022727272727273,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn8/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn8,hellaswag,0.6735710017924716,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn8/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn8,piqa,0.764961915125136,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn8/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn8,winogrande,0.6440410418310971,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn8/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn8,group1_mean,0.671211671505358,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn8/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn16,arc_easy,0.6022727272727273,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn16/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn16,hellaswag,0.6714797849034057,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn16/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn16,piqa,0.76550598476605,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn16/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn16,winogrande,0.6495659037095501,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn16/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn16,group1_mean,0.6722061001629333,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn16/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn32,arc_easy,0.601010101010101,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn32/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn32,hellaswag,0.6718781119298944,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn32/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn32,piqa,0.7633297062023939,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn32/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn32,winogrande,0.6479873717442778,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn32/metrics.json
facebook-opt-6.7b,lm_eval,fp16_pinn32,group1_mean,0.6710513227216668,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/fp16_pinn32/metrics.json
facebook-opt-6.7b,lm_eval,int8_exact,arc_easy,0.5993265993265994,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_exact/metrics.json
facebook-opt-6.7b,lm_eval,int8_exact,hellaswag,0.6720772754431388,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_exact/metrics.json
facebook-opt-6.7b,lm_eval,int8_exact,piqa,0.7606093579978237,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_exact/metrics.json
facebook-opt-6.7b,lm_eval,int8_exact,winogrande,0.6503551696921863,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_exact/metrics.json
facebook-opt-6.7b,lm_eval,int8_exact,group1_mean,0.670592100614937,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_exact/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn8,arc_easy,0.6035353535353535,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn8/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn8,hellaswag,0.6719776936865166,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn8/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn8,piqa,0.763873775843308,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn8/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn8,winogrande,0.6527229676400947,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn8/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn8,group1_mean,0.6730274476763182,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn8/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn16,arc_easy,0.6022727272727273,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn16/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn16,hellaswag,0.6714797849034057,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn16/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn16,piqa,0.7622415669205659,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn16/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn16,winogrande,0.6456195737963694,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn16/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn16,group1_mean,0.670403413223267,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn16/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn32,arc_easy,0.5938552188552189,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn32/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn32,hellaswag,0.6715793666600279,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn32/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn32,piqa,0.763873775843308,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn32/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn32,winogrande,0.6385161799526441,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn32/metrics.json
facebook-opt-6.7b,lm_eval,int8_pinn32,group1_mean,0.6669561353277997,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/facebook_opt_6_7b/int8_pinn32/metrics.json
Llama-2-7b-hf,lm_eval,fp16_exact,arc_easy,0.747895622895623,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_exact/metrics.json
Llama-2-7b-hf,lm_eval,fp16_exact,hellaswag,0.7597092212706632,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_exact/metrics.json
Llama-2-7b-hf,lm_eval,fp16_exact,piqa,0.7878128400435256,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_exact/metrics.json
Llama-2-7b-hf,lm_eval,fp16_exact,winogrande,0.6898184688239937,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_exact/metrics.json
Llama-2-7b-hf,lm_eval,fp16_exact,group1_mean,0.7463090382584514,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_exact/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn8,arc_easy,0.7436868686868687,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn8/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn8,hellaswag,0.7577175861382195,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn8/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn8,piqa,0.7889009793253536,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn8/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn8,winogrande,0.6882399368587214,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn8/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn8,group1_mean,0.7446363427522908,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn8/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn16,arc_easy,0.7449494949494949,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn16/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn16,hellaswag,0.7599083847839075,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn16/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn16,piqa,0.7894450489662677,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn16/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn16,winogrande,0.6921862667719021,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn16/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn16,group1_mean,0.746622298867893,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn16/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn32,arc_easy,0.7462121212121212,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn32/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn32,hellaswag,0.7591117307309301,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn32/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn32,piqa,0.7872687704026116,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn32/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn32,winogrande,0.6937647987371744,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn32/metrics.json
Llama-2-7b-hf,lm_eval,fp16_pinn32,group1_mean,0.7465893552707094,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/fp16_pinn32/metrics.json
Llama-2-7b-hf,lm_eval,int8_exact,arc_easy,0.7373737373737373,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_exact/metrics.json
Llama-2-7b-hf,lm_eval,int8_exact,hellaswag,0.7538338976299542,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_exact/metrics.json
Llama-2-7b-hf,lm_eval,int8_exact,piqa,0.7850924918389554,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_exact/metrics.json
Llama-2-7b-hf,lm_eval,int8_exact,winogrande,0.6835043409629045,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_exact/metrics.json
Llama-2-7b-hf,lm_eval,int8_exact,group1_mean,0.7399511169513878,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_exact/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn8,arc_easy,0.7407407407407407,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn8/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn8,hellaswag,0.7497510456084445,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn8/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn8,piqa,0.7774755168661589,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn8/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn8,winogrande,0.6827150749802684,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn8/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn8,group1_mean,0.7376705945489032,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn8/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn16,arc_easy,0.7335858585858586,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn16/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn16,hellaswag,0.7501493726349333,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn16/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn16,piqa,0.7829162132752993,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn16/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn16,winogrande,0.6842936069455406,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn16/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn16,group1_mean,0.7377362628604079,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn16/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn32,arc_easy,0.73989898989899,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn32/metrics.json
Llama-2-7b-hf,lm_eval,int8_pinn32,hellaswag,0.7518422624975104,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/lm_eval/llama_2_7b_hf/int8_pinn32/metrics.json
